Herrialdea;Kokapena;Lana;Dirua;Ezagupenak;Denbora;Boterea;Osasuna
Suezia - Iparraldea - 84.81 - 87.21 - 76.44 - 71.92 - 94.52
Herbehereak - Erdialdea - 79.29 - 88.07 - 69.1 - 76.93 - 94.18
Danimarka - Iparraldea - 82.13 - 89.47 - 69.24 - 72.69 - 88.57
Espainia - Hegoaldea - 75.38 - 78.34 - 70.04 - 70.42 - 91.22
Belgika - Erdialdea - 75.37 - 90.69 - 74.07 - 64.66 - 88.48
Frantzia - Erdialdea - 73.22 - 84.91 - 65.21 - 68.67 - 88.27
Luxemburgo - Erdialdea - 79.64 - 93.94 - 70.29 - 62.79 - 90.36
EuskadiEAE - Hegoaldea - 75.62 - 85.62 - 67.71 - 78.26 - 92.39
Finlandia - Iparraldea - 77.95 - 87.39 - 60.53 - 69.68 - 93.1
Irlanda - Erdialdea - 76.45 - 87.95 - 69.47 - 59.46 - 94.82
Austria - Erdialdea - 76.41 - 88.23 - 65.59 - 68.39 - 91.45
Alemania - Erdialdea - 76.75 - 87.11 - 56.13 - 65.03 - 89.85
Eslovenia - Ekialdea - 75.85 - 84.53 - 60.73 - 69.33 - 86.49
Italia - Hegoaldea - 65.03 - 80.25 - 60.77 - 67.37 - 89.19
Malta - Hegoaldea - 80.01 - 83.35 - 70.13 - 59.45 - 87.39
Portugal - Hegoaldea - 76.52 - 73.6 - 58.74 - 67.79 - 84.11
Bulgaria - Ekialdea - 69.98 - 66.99 - 57.85 - 63.8 - 77.84
Lituania - Ekialdea - 75.71 - 71.23 - 59.3 - 62.15 - 82.93
Polonia - Ekialdea - 69.58 - 78.39 - 59.39 - 71.45 - 84.35
Letonia - Ekialdea - 76.4 - 68.14 - 50.44 - 62.63 - 78.9
Kroazia - Ekialdea - 72.08 - 73.63 - 54.19 - 48.6 - 84.85
Txipre - Hegoaldea - 76.49 - 83.28 - 65.48 - 58.41 - 87.13
Estonia - Ekialdea - 77.47 - 73.34 - 57.79 - 64.42 - 85.13
Eslovakia - Ekialdea - 71.88 - 74.19 - 62.13 - 60.99 - 85.08
Grezia - Hegoaldea - 68.66 - 71.68 - 57.34 - 67.11 - 85.52
TxekiarErrepublika - Ekialdea - 68.88 - 79.4 - 59.8 - 57.05 - 84.78
Hungria - Ekialdea - 76.45 - 73.95 - 57.86 - 61.2 - 87.19
Rumania - Ekialdea - 66.99 - 70.65 - 54.45 - 69.23 - 70.03
